Institution,# of citing papers,# of citing researchers
Toyota Research Institute,5,3
Google Deepmind or Google,5,5
Amazon Prime Air,2,1
NVIDIA,7,6
OpenAI,1,1
SpaceX,2,1
Tesla,1,1
Plus AI,1,1
Bosch,2,1
Honda Research Institute,1,1
Tyvak,2,1
"Argotec, Italy",1,1
"Tencent, China",1,1
